company,ticker,country,Year,emissions_intensity,environmental_investment,esg_score,estimated_total_carbon_footprint,internal_carbon_pricing,internal_carbon_price_per_tonne
3-2 INVESTMENT AND,VN000000C325,Vietnam,2015,2546.06881537,,,64828.86744533,,
3-2 INVESTMENT AND,VN000000C325,Vietnam,2016,2819.72533457,,,65675.45104572,,
3-2 INVESTMENT AND,VN000000C325,Vietnam,2017,4362.53269686,,,107555.91160331,,
3-2 INVESTMENT AND,VN000000C325,Vietnam,2018,3615.6048792,,,113458.60952198,,
3-2 INVESTMENT AND,VN000000C325,Vietnam,2019,1825.21286898,,,63036.40639962,,
3-2 INVESTMENT AND,VN000000C325,Vietnam,2020,2173.56710495,,,59706.65535622,,
3-2 INVESTMENT AND,VN000000C325,Vietnam,2021,2194.0723644,,,49357.40118002,,
3-2 INVESTMENT AND,VN000000C325,Vietnam,2022,2143.16871741,,,52407.30812144,,
3-2 INVESTMENT AND,VN000000C325,Vietnam,2023,2338.1403194,,,48500.95538178,,
3-2 INVESTMENT AND,VN000000C325,Vietnam,2024,1838.23016764,,,46016.42959842,,
577 INVESTMENT,VN000000NBB3,Vietnam,2015,198.46553785,,,876.40214126,,
577 INVESTMENT,VN000000NBB3,Vietnam,2016,240.43776322,,,443.75740829,,
577 INVESTMENT,VN000000NBB3,Vietnam,2017,175.51636391,,,8183.06122485,,
577 INVESTMENT,VN000000NBB3,Vietnam,2018,265.95425421,,,13164.12758587,,
577 INVESTMENT,VN000000NBB3,Vietnam,2019,297.14390811,,,4229.53220532,,
577 INVESTMENT,VN000000NBB3,Vietnam,2020,306.14515648,,,46127.32502529,,
577 INVESTMENT,VN000000NBB3,Vietnam,2021,231.12268777,,,5696.53889263,,
577 INVESTMENT,VN000000NBB3,Vietnam,2022,232.37733915,,,4634.85483934,,
577 INVESTMENT,VN000000NBB3,Vietnam,2023,415.8058433,,,5115.19173023,,
577 INVESTMENT,VN000000NBB3,Vietnam,2024,449.44284532,,,1161.76550428,,
911 GROUP,VN000000NO19,Vietnam,2020,913.83026476,,,14664.16259427,,
911 GROUP,VN000000NO19,Vietnam,2021,899.79592198,,,21168.86855739,,
911 GROUP,VN000000NO19,Vietnam,2022,781.32970995,,,44291.71579645,,
A DONG PAINT JSC,VN000000ADP6,Vietnam,2015,605.59790942,,,14595.20347132,,
A DONG PAINT JSC,VN000000ADP6,Vietnam,2016,650.56303618,,,18597.09758153,,
A DONG PAINT JSC,VN000000ADP6,Vietnam,2017,672.14925329,,,15442.40174899,,
A DONG PAINT JSC,VN000000ADP6,Vietnam,2018,666.9196278,,,15180.0278176,,
A DONG PAINT JSC,VN000000ADP6,Vietnam,2019,681.17545813,,,15996.08845317,,
A DONG PAINT JSC,VN000000ADP6,Vietnam,2020,744.17955387,,,18332.03286952,,
A DONG PAINT JSC,VN000000ADP6,Vietnam,2021,728.77876538,,,13176.83229225,,
A DONG PAINT JSC,VN000000ADP6,Vietnam,2022,729.36098556,,,18322.65861119,,
A DONG PAINT JSC,VN000000ADP6,Vietnam,2023,793.81420735,,,17202.74147507,,
A DONG PAINT JSC,VN000000ADP6,Vietnam,2024,884.23624195,,,28880.61236467,,
ACC BINH DUONG,VN000000ACC6,Vietnam,2015,1258.86933525,,,20130.51524583,,
ACC BINH DUONG,VN000000ACC6,Vietnam,2016,1260.31805737,,,22681.12399336,,
ACC BINH DUONG,VN000000ACC6,Vietnam,2017,2608.13441405,,,31729.44149876,,
ACC BINH DUONG,VN000000ACC6,Vietnam,2018,1853.80228879,,,30639.931289,,
ACC BINH DUONG,VN000000ACC6,Vietnam,2019,1522.28332624,,,31044.50775396,,
ACC BINH DUONG,VN000000ACC6,Vietnam,2020,803.78514891,,,16773.98100215,,
ACC BINH DUONG,VN000000ACC6,Vietnam,2021,942.47381177,,,14507.25458052,,
ACC BINH DUONG,VN000000ACC6,Vietnam,2022,947.24462279,,,26018.02926413,,
ACC BINH DUONG,VN000000ACC6,Vietnam,2023,1188.79738612,,,32518.71150395,,
ACC BINH DUONG,VN000000ACC6,Vietnam,2024,1006.50080622,,,28137.72201337,,
