Deal PermID,Package Identifier,Master Deal Type Code,All New Issues Manager Roles Code,Manager's Role Code,Dates: Issue Date,Issuer/Borrower Name Full,Issuer/Borrower PermID,Issue Type,Transaction Status,Issuer/Borrower Nation,New Issues Current Filing Date,Offer Price (Uniform),Proceeds Amount Incl Overallotment Sold All Markets,Proceeds Amount This Market,Issuer/Borrower Stock Exchange Name,Security Type All Markets,Offering Technique,New Issues Fees: Gross Spread as Pct of Principal Amount This Market,Domicile Nation Sub Region,Domicile Nation Region,Issuer/Borrower TRBC Business Sector,Issuer/Borrower TRBC Economic Sector,Lead Left Bookrunner,Managers Tier 1 & Tier 2 ,ECM Flag,Primary Use Of Proceeds,Issuer/Borrower Nation Region,Master Deal Type,All New Issues Manager Roles,Manager's Role,is_authentic
154084480389,3480516,D,JB|JB|JB|CM|CM|CM|CM,JB|JB|JB|CM|CM|CM|CM,8/1/2017,Asian Development Bank,8589934162.0,"Agency, Supranational, Sovereign",Live,Philippines,,99.172,1242.3425,495.86,,Global Medium Term Notes,Issued off MTN programme,0.17500,Southeast Asia,Asia Pacific Excluding Central Asia,Banking & Investment Services,Financials,,Bank of America Merrill Lynch|Credit Agricole Corporate & Investment Bank|JP Morgan & Co Inc|Citigroup Global Markets Inc|HSBC Securities (USA) Inc|Morgan Stanley International Ltd|TD Securities (USA) Inc,False,Green Bond Purposes,Asia Pacific Excluding Central Asia,US Non Cvt Debt,Joint Book Runner|Joint Book Runner|Joint Book Runner|CoManager|CoManager|CoManager|CoManager,Joint Book Runner|Joint Book Runner|Joint Book Runner|CoManager|CoManager|CoManager|CoManager,0
154084486562,3480516,D,JB|JB|JB|CM|CM|CM|CM,JB|JB|JB|CM|CM|CM|CM,8/1/2017,Asian Development Bank,8589934162.0,"Agency, Supranational, Sovereign",Live,Philippines,,99.531,1242.3425,746.4825,,Global Medium Term Notes,Issued off MTN programme,0.12500,Southeast Asia,Asia Pacific Excluding Central Asia,Banking & Investment Services,Financials,,Bank of America Merrill Lynch|Credit Agricole Corporate & Investment Bank|JP Morgan & Co Inc|Citigroup Global Markets Inc|HSBC Securities (USA) Inc|Morgan Stanley International Ltd|TD Securities (USA) Inc,False,Green Bond Purposes,Asia Pacific Excluding Central Asia,US Non Cvt Debt,Joint Book Runner|Joint Book Runner|Joint Book Runner|CoManager|CoManager|CoManager|CoManager,Joint Book Runner|Joint Book Runner|Joint Book Runner|CoManager|CoManager|CoManager|CoManager,0
154084490384,9983331,D,JB|JB|JB,JB|JB|JB,3/12/2015,Asian Development Bank,8589934162.0,"Agency, Supranational, Sovereign",Live,Philippines,,99.294,496.47,496.47,,Global Medium Term Notes,Issued off MTN programme|Firm Commitment|Negotiated Sale,0.17500,Southeast Asia,Asia Pacific Excluding Central Asia,Banking & Investment Services,Financials,,Bank of America Merrill Lynch|Morgan Stanley & Co|SEB,False,Green Bond Purposes,Asia Pacific Excluding Central Asia,US Non Cvt Debt,Joint Book Runner|Joint Book Runner|Joint Book Runner,Joint Book Runner|Joint Book Runner|Joint Book Runner,0
154084593248,3319100,D,JB|JB|JB,JB|JB|JB,8/9/2016,Asian Development Bank,8589934162.0,"Agency, Supranational, Sovereign",Live,Philippines,,99.779,1296.957,798.232,,Global Medium Term Notes,Firm Commitment|Negotiated Sale,0.10000,Southeast Asia,Asia Pacific Excluding Central Asia,Banking & Investment Services,Financials,,Bank of America Merrill Lynch|Credit Agricole Corporate & Investment Bank|JP Morgan & Co Inc,False,Green Bond Purposes,Asia Pacific Excluding Central Asia,US Non Cvt Debt,Joint Book Runner|Joint Book Runner|Joint Book Runner,Joint Book Runner|Joint Book Runner|Joint Book Runner,0
154084594902,3319989,ED,JB|JB|JB|JB|JB,JB|JB|JB|JB|JB,8/10/2016,Greenko Investment Co,5051761072.0,High Yield Corporate,Live,India,,100.0,500.0,500.0,,Guaranteed Bonds,,na,Southeast Asia,Asia Pacific Excluding Central Asia,Banking & Investment Services,Financials,Deutsche Bank,Deutsche Bank|Investec Bank Ltd|JP Morgan & Co Inc|Morgan Stanley|UBS,False,Green Bond Purposes,Asia Pacific Excluding Central Asia,Euro & Foreign Non Cvt Debt,Joint Book Runner|Joint Book Runner|Joint Book Runner|Joint Book Runner|Joint Book Runner,Joint Book Runner|Joint Book Runner|Joint Book Runner|Joint Book Runner|Joint Book Runner,0
154084595839,3319100,D,JB|JB|JB,JB|JB|JB,8/9/2016,Asian Development Bank,8589934162.0,"Agency, Supranational, Sovereign",Live,Philippines,,99.745,1296.957,498.725,,Global Medium Term Notes,Firm Commitment|Negotiated Sale,0.17500,Southeast Asia,Asia Pacific Excluding Central Asia,Banking & Investment Services,Financials,,Bank of America Merrill Lynch|Credit Agricole Corporate & Investment Bank|JP Morgan & Co Inc,False,Green Bond Purposes,Asia Pacific Excluding Central Asia,US Non Cvt Debt,Joint Book Runner|Joint Book Runner|Joint Book Runner,Joint Book Runner|Joint Book Runner|Joint Book Runner,0
154084607029,3346793,ASPD,BM,BM,2/29/2016,Ap Renewables Inc,5001106639.0,Emerging Market Corporate|Investment Grade Corporate,Live,Philippines,,100.0,225.4530131,225.4530131,,Fixed Or Straight Bond,,na,Southeast Asia,Asia Pacific Excluding Central Asia,Renewable Energy,Energy,,BPI Capital,False,Green Bond Purposes,Asia Pacific Excluding Central Asia,Asia Pacific Non Cvt Debt,BookRunner,BookRunner,0
154084626059,3428167,ASPD,BM,BM,4/6/2017,CDL Properties Ltd,4296929457.0,Investment Grade Corporate,Live,Singapore,,100.0,71.32158905,71.32158905,,Senior Bonds,,na,Southeast Asia,Asia Pacific Excluding Central Asia,Real Estate,Real Estate,,DBS Bank Ltd,False,Green Bond Purposes,Asia Pacific Excluding Central Asia,Asia Pacific Non Cvt Debt,BookRunner,BookRunner,0
154084639795,3471575,R144D,JP|JP|JP|JP|JP|JP|JP,JP|JP|JP|JP|JP|JP|JP,7/18/2017,DBS Group Holdings Ltd,4295888106.0,Investment Grade Corporate,Live,Singapore,,100.0,500.0,500.0,Singapore,Floating Rate Notes,Firm Commitment|Negotiated Sale,0.30000,Southeast Asia,Asia Pacific Excluding Central Asia,Banking & Investment Services,Financials,,DBS Bank Ltd|Credit Agricole Corporate & Investment Bank|HSBC Securities (USA) Inc|ING Bank NV|Natixis|Societe Generale SA|Wells Fargo Securities LLC,False,Green Bond Purposes,Asia Pacific Excluding Central Asia,US Rule 144A Non Cvt Debt,Joint Lead Placement Agent|Joint Lead Placement Agent|Joint Lead Placement Agent|Joint Lead Placement Agent|Joint Lead Placement Agent|Joint Lead Placement Agent|Joint Lead Placement Agent,Joint Lead Placement Agent|Joint Lead Placement Agent|Joint Lead Placement Agent|Joint Lead Placement Agent|Joint Lead Placement Agent|Joint Lead Placement Agent|Joint Lead Placement Agent,1
154084644993,3583838,ASPD,JB|JB,JB|JB,12/21/2017,Pnb Merdeka Ventures Sdn Bhd,,Investment Grade Corporate|Emerging Market Corporate,Live,Malaysia,,100.0,169.2836114,7.360157017,,Islamic Financing,Issued off MTN programme,na,Southeast Asia,Asia Pacific Excluding Central Asia,Real Estate,Real Estate,,MIDF Amanah Investment Bank Bhd|RHB Investment Bank Bhd,False,Green Bond Purposes,Asia Pacific Excluding Central Asia,Asia Pacific Non Cvt Debt,Joint Book Runner|Joint Book Runner,Joint Book Runner|Joint Book Runner,0
