name,ric,currency,org_permid,isin
BARITO RENEWABLES ENERGY,BREN.JK,RI,5086799136.0,ID1000198500
BANK CENTRAL ASIA,BBCA.JK,RI,4295874754.0,ID1000109507
BANK RAKYAT INDONESIA,BBRI.JK,RI,4295874766.0,ID1000118201
DIAN SWASTATIKA SENTOSA,DSSA.JK,RI,5000098274.0,ID1000113400
AMMAN MINERAL INTERNASIONAL,AMMN.JK,RI,5051389335.0,ID1000191109
CHANDRA ASRI PACIFIC,TPIA.JK,RI,4295874746.0,ID1000090301
BANK MANDIRI,BMRI.JK,RI,4295874338.0,ID1000095003
DCI INDONESIA,DCII.JK,RI,5079241988.0,ID1000158603
BAYAN RESOURCES,BYAN.JK,RI,4298052515.0,ID1000111701
TELEKOMUNIKASI INDONESIA (PERSERO),TLKM.JK,RI,4295874502.0,ID1000129000
ASTRA INTERNATIONAL,ASII.JK,RI,4295874361.0,ID1000122807
BANK NEGARA INDONESIA,BBNI.JK,RI,4295874492.0,ID1000096605
BARITO PACIFIC,BRPT.JK,RI,4295874417.0,ID1000085707
PETRINDO JAYA KREASI,CUAN.JK,RI,5083104360.0,ID1000187206
SEJAHTERARAYA AGH.,SRAJ.JK,RI,5001103560.0,ID1000118706
PANTAI INDAH KAPUK DUA,PANI.JK,RI,5065369389.0,ID1000145303
BANK PERMATA,BNLI.JK,RI,5000004539.0,ID1000098205
BUMI RESOURCES MINERALS,BRMS.JK,RI,5000255522.0,ID1000117609
MORA TELEMATIKA INDONESIA,MORA.JK,RI,5052525105.0,ID1000170608
ALAMTRI MINERALS INDONESIA,ADMR.JK,RI,5082055670.0,ID1000165608
BUMI RESOURCES,BUMI.JK,RI,4295874538.0,ID1000068703
IMPACK PRATAMA INDUSTRI,IMPC.JK,RI,4296071844.0,ID1000133002
INDOFOOD CBP SUKSES MKM.,ICBP.JK,RI,5000715289.0,ID1000116700
MAHA PROPERTI INDONESIA,MPRO.JK,RI,5066538110.0,ID1000146301
MD ENTERTAINMENT,FILM.JK,RI,5064644123.0,ID1000144900
MERDEKA BATTERY MATERIALS,MBMA.JK,RI,5083698659.0,ID1000188303
MERDEKA COPPER GOLD,MDKA.JK,RI,5045048842.0,ID1000134406
MERDEKA GOLD RESOURCES,EMAS.JK,RI,5066606315.0,ID1000211600
SINAR MAS MULTIARTHA,SMMA.JK,RI,4295874463.0,ID1000094501
TRIMEGAH BANGUN PERSADA,NCKL.JK,RI,5082959154.0,ID1000188006
UNILEVER INDONESIA,UNVR.JK,RI,4295874388.0,ID1000095706
UNITED TRACTORS,UNTR.JK,RI,4295874393.0,ID1000058407
BANK SYARIAH INDONESIA,BRIS.JK,RI,4297695276.0,ID1000142904
CHANDRA DAYA INVESTASI,CDIA.JK,RI,5086820488.0,ID1000210701
HM SAMPOERNA,HMSP.JK,RI,4295874381.0,ID1000074008
INDORITEL MAKMUR INTERNASIONAL,DNET.JK,RI,4295874726.0,ID1000063605
PT ANTAM TBK,ANTM.JK,RI,4295874596.0,ID1000106602
ADARO ANDALAN INDONESIA,AADI.JK,RI,5000043266.0,ID1000207509
ALAMTRI RESOURCES INDONESIA,ADRO.JK,RI,4298052285.0,ID1000111305
ARCHI INDONESIA,ARCI.JK,RI,5043320070.0,ID1000161003
BANK CIMB NIAGA,BNGA.JK,RI,4295874548.0,ID1000098007
CAPITAL FINANCIAL INDONESIA,CASA.JK,RI,5051397852.0,ID1000137508
CHAROEN POKPHAND INDO.,CPIN.JK,RI,4295874540.0,ID1000117708
GLOBAL DIGITAL NIAGA,BELI.JK,RI,5056406624.0,ID1000176001
GOLDEN ENERGY MINES,GEMS.JK,RI,5000555744.0,ID1000121106
GOTO GOJEK TOKOPEDIA,GOTO.JK,RI,5061707753.0,ID1000166903
INDAH KIAT PULP & PAPER,INKP.JK,RI,4295874382.0,ID1000062201
INDOFOOD SUKSES MAKMUR,INDF.JK,RI,4295874561.0,ID1000057003
KALBE FARMA,KLBF.JK,RI,4295874370.0,ID1000125107
MAYORA INDAH,MYOR.JK,RI,4295874620.0,ID1000060007
MULTIPOLAR TECHNOLOGY,MLPT.JK,RI,5035397297.0,ID1000128408
PERTAMINA GEOTHERMAL ENERGY,PGEO.JK,RI,5000771044.0,ID1000186505
PERUSAHAAN GAS NEGARA,PGAS.JK,RI,4295874384.0,ID1000111602
PT PRADIKSI GUNATAMA,PGUN.JK,RI,5074851226.0,ID1000156409
SUMBER ALFARIA TRIJAYA,AMRT.JK,RI,4298130680.0,ID1000128705
TRANSCOAL PACIFIC,TCPI.JK,RI,5064623318.0,ID1000144009
VALE INDONESIA,INCO.JK,RI,4295874391.0,ID1000109309
XLSMART TELECOM SEJAHTERA,EXCL.JK,RI,4295874775.0,ID1000102502
ELANG MAHKOTA TEKNOLOGI,EMTK.JK,RI,5000034421.0,ID1000113905
INDOSAT,ISAT.JK,RI,4295874580.0,ID1000097405
JAYA SUKSES MAKMUR SENTOSA,RISE.JK,RI,5064623372.0,ID1000144801
PETROSEA,PTRO.JK,RI,4295874651.0,ID1000122401
ABADI LESTARI INDONESIA,RLCO.JK,RI,5097043514.0,ID1000212509
AKR CORPORINDO,AKRA.JK,RI,4295874458.0,ID1000106701
ANCARA LOGISTICS INDONESIA PT,ALII.JK,RI,5086984953.0,ID1000202807
ASTRA AGRO LESTARI,AALI.JK,RI,4295874452.0,ID1000066004
ASTRINDO NUSANTARA INFRASTRUKTUR,BIPI.JK,RI,5000633611.0,ID1000114101
BAKRIE & BROTHERS,BNBR.JK,RI,4295874437.0,ID1000110000
BANK DANAMON INDONESIA SERIES A,BDMN.JK,RI,4295874431.0,ID1000094204
BANK INA PERDANA,BINA.JK,RI,5000654745.0,ID1000130404
BANK JAGO INDONESIA,ARTO.JK,RI,5047871667.0,ID1000136708
BANK MAYBANK INDONESIA,BNII.JK,RI,4295874564.0,ID1000099302
BANK MEGA,MEGA.JK,RI,4295874518.0,ID1000052400
