name,ric,currency,org_permid,isin
MALAYAN BANKING,MBBM.KL,M$,4295884238.0,MYL1155OO000
PUBLIC BANK,PUBM.KL,M$,4295884204.0,MYL1295OO004
CIMB GROUP HOLDINGS,CIMB.KL,M$,4295883663.0,MYL1023OO000
TENAGA NASIONAL,TENA.KL,M$,4295883130.0,MYL5347OO009
IHH HEALTHCARE,IHHH.KL,M$,5000835890.0,MYL5225OO007
HONG LEONG BANK,HLBB.KL,M$,4295883279.0,MYL5819OO007
PRESS METAL ALUMINIUM HOLDINGS,PMET.KL,M$,5056434400.0,MYL8869OO009
99 SPEED MART RETAIL HOLDINGS,SPEE.KL,M$,5062359246.0,MYL5326OO003
MISC BHD.,MISC.KL,M$,4295883593.0,MYL3816OO005
RHB BANK BHD,RHBC.KL,M$,4298219772.0,MYL1066OO009
SD GUTHRIE,SDGU.KL,M$,4298041637.0,MYL5285OO001
SUNWAY,SWAY.KL,M$,5001219135.0,MYL5211OO007
CELCOMDIGI,CELC.KL,M$,4295883746.0,MYL6947OO005
PETRONAS GAS,PGAS.KL,M$,4295883340.0,MYL6033OO004
AXIATA GROUP,AXIA.KL,M$,4295884190.0,MYL6888OO001
GAMUDA,GAMU.KL,M$,4295883291.0,MYL5398OO002
HONG LEONG FINL.GP.,HLCB.KL,M$,4295883475.0,MYL1082OO006
IOI PROPERTIES GROUP,IOIP.KL,M$,5038901661.0,MYL5249OO007
KUALA LUMPUR KEPONG,KLKK.KL,M$,4295883331.0,MYL2445OO004
MAXIS,MXSC.KL,M$,5000471355.0,MYL6012OO008
NESTLE (MALAYSIA),NESM.KL,M$,4295883085.0,MYL4707OO005
PETRONAS CHEMICALS GP.,PCGB.KL,M$,5001150689.0,MYL5183OO008
PETRONAS DAGANGAN,PETR.KL,M$,4295883315.0,MYL5681OO001
TELEKOM MALAYSIA,TLMM.KL,M$,4295883091.0,MYL4863OO006
UNITED PLANTATIONS,UTPS.KL,M$,4295883316.0,MYL2089OO000
YTL CORPORATION,YTLS.KL,M$,4295883217.0,MYL4677OO000
YTL POWER INTERNATIONAL,YTLP.KL,M$,4295883412.0,MYL6742OO000
AMMB HOLDINGS,AMMB.KL,M$,4295883135.0,MYL1015OO006
IOI CORPORATION,IOIB.KL,M$,4295883100.0,MYL1961OO001
WESTPORTS HOLDINGS,WPHB.KL,M$,5036766908.0,MYL5246OO003
FRASER & NEAVE HOLDINGS,FRAS.KL,M$,4295883142.0,MYL3689OO006
GENTING,GENT.KL,M$,4295883159.0,MYL3182OO002
GENTING MALAYSIA,GENM.KL,M$,4295883150.0,MYL4715OO008
KLCC PROPERTY HOLDINGS STAPLED UNITS,KLCC.KL,M$,4295884064.0,MYL5235SS008
KPJ HEALTHCARE,KPJH.KL,M$,4295883354.0,MYL5878OO003
MALAYAN CEMENT,MALY.KL,M$,4295883139.0,MYL3794OO004
MR DIY GROUP M BHD,MRDI.KL,M$,5068473158.0,MYL5296OO008
QL RESOURCES,QRES.KL,M$,4295883487.0,MYL7084OO006
SIME DARBY,SIME.KL,M$,5000046644.0,MYL4197OO009
TIME DOTCOM,TCOM.KL,M$,4295883449.0,MYL5031OO009
IGB REITS UNITS,IGRE.KL,M$,5037818669.0,MYL5227TO002
PPB GROUP,PEPT.KL,M$,4295883543.0,MYL4065OO008
ECO SHOP MARKETING,ECOO.KL,M$,5076915892.0,MYL5337OO000
AFFIN BANK,AFIN.KL,M$,4296717702.0,MYL5185OO003
AIRASIA X,AIRX.KL,M$,4297598428.0,MYL5238OO000
ALLIANCE BANK MALAYSIA,ALLI.KL,M$,4296421898.0,MYL2488OO004
ALLIANZ MALAYSIA,AINM.KL,M$,4295883136.0,MYL1163OO004
AXIS REITS UNITS,AXSR.KL,M$,4295883388.0,MYL5106TO008
BATU KAWAN,BTKW.KL,M$,4295883312.0,MYL1899OO003
BURSA MALAYSIA,BMYS.KL,M$,4298007917.0,MYL1818OO003
CARLSBERG BREWERY MAL.,CBMS.KL,M$,4295883576.0,MYL2836OO004
CHIN HIN GROUP,CHIU.KL,M$,5045946232.0,MYL5273OO007
DIALOG GROUP,DIAL.KL,M$,4295883764.0,MYL7277OO006
FARM FRESH,FARM.KL,M$,5065369230.0,MYL5306OO005
FRONTKEN CORPORATION,FRKN.KL,M$,4295884152.0,MYQ0128OO007
GAS MALAYSIA,GASM.KL,M$,5000041331.0,MYL5209OO001
GENTING PLANTATIONS,GENP.KL,M$,4295884234.0,MYL2291OO002
GREATECH TECHNOLOGY,GREA.KL,M$,5066615539.0,MYQ0208OO007
HAP SENG CONSOLIDATED,HAPS.KL,M$,4295883546.0,MYL3034OO005
HARTALEGA HOLDINGS,HTHB.KL,M$,4295884114.0,MYL5168OO009
HEINEKEN MALAYSIA,HEIN.KL,M$,4295883169.0,MYL3255OO006
HEXTAR GLOBAL,HEXT.KL,M$,5000094146.0,MYL5151OO005
HONG LEONG INDUSTRIES,HLIB.KL,M$,4295883454.0,MYL3301OO008
IGB,IGBB.KL,M$,4295883930.0,MYL5606OO008
IJM CORPORATION,IJMS.KL,M$,4295884042.0,MYL3336OO004
INARI AMERTRON,INAR.KL,M$,5035307122.0,MYQ0166OO007
JOHOR PLANTATIONS GROUP,JOHO.KL,M$,5035579370.0,MYL5323OO000
KELINGTON GROUP,KELG.KL,M$,5000467391.0,MYQ0151OO009
KERJAYA PROSPEK GROUP,KREJ.KL,M$,4295883928.0,MYL7161OO002
KSL HOLDINGS,KSLH.KL,M$,4295883586.0,MYL5038OO004
LPI CAPITAL,LOND.KL,M$,4295883365.0,MYL8621OO004
MALAYSIAN PACIFIC INDS.,MPIM.KL,M$,4295883111.0,MYL3867OO008
MBSB,MBSB.KL,M$,4295884130.0,MYL1171OO007
MEGA FIRST CORPORATION,MEGA.KL,M$,4295883223.0,MYL3069OO001
