ric,name,org_permid,isin
009830.KS,Hanwha Solutions Corp,4295881065,KR7009830001
0855.HK,China Water Affairs Group Ltd,4295871611,BMG210901242
ADVANC.BK,Advanced Info Service PCL,4295892724,TH0268010Z03
ALCO.PS,ArthaLand Corp,4295886316,PHY0206K1008
ALZ.AX^K1,Unable to resolve all requested identifiers.,Unable to resolve all requested identifiers.,
ARKO.JK,Arkora Hydro Tbk PT,5052522831,ID1000168909
BBRI.JK,Bank Rakyat Indonesia (Persero) Tbk PT,4295874766,ID1000118201
BCPG.BK,BCPG PCL,5046434762,TH7411010005
BDO.PS,BDO Unibank Inc,4295886326,PHY077751022
BEM.BK,Bangkok Expressway and Metro PCL,5048739751,TH6999010007
BGRIM.BK,BGrimm Power PCL,5001110722,TH7545010004
BMRI.JK,Bank Mandiri (Persero) Tbk PT,4295874338,ID1000095003
BPI.PS,Bank of the Philippine Islands,5000066211,PHY0967S1694
BTS.BK,BTS Group Holdings PCL,4295892710,TH0221B10Z05
CAPD.SI,CapitaLand Ascendas REIT,4295887444,SG1M77906915
CENTEL.BK,Central Plaza Hotel PCL,4295892832,TH0176B10Z00
CIMB.KL,CIMB Group Holdings Bhd,4295883663,MYL1023OO000
CIMBT.BK,CIMB Thai Bank PCL,4295893416,TH0041010Y05
CKP.BK,CK Power PCL,5035313535,TH4536010Z09
CPN.BK,Central Pattana PCL,4295892911,TH0481B10Z00
CRC.BK,Central Retail Corporation PCL,5071514472,TH9597010007
CREIT.PS,Citicore Energy REIT Corp,5080518724,PHY1642D1064
DBSM.SI,DBS Group Holdings Ltd,4295888106,SG1L01001701
EA.BK,Energy Absolute PCL,4298077124,TH3545010003
EASTW.BK,Eastern Water Resources Development and Management PCL,4295893152,TH0616010Z03
EDC.PS^K1,Unable to resolve all requested identifiers.,Unable to resolve all requested identifiers.,
EGCO.BK,Electricity Generating PCL,4295892855,TH0465010005
EVF.HM,EVF General Finance JSC,5000951886,VN000000EVF1
GB005386,Unable to resolve all requested identifiers.,Unable to resolve all requested identifiers.,
GULFI.BK^,Unable to resolve all requested identifiers.,Unable to resolve all requested identifiers.,
HLBB.KL,Hong Leong Bank Bhd,4295883279,MYL5819OO007
IRPC.BK,IRPC PCL,4295892850,TH0471010Y04
JOHO.KL,Johor Plantations Group Bhd,5035579370,MYL5323OO000
MINT.BK,Minor International PCL,4295893065,TH0128B10Z09
MWC.PS,Manila Water Company Inc,4295886319,PHY569991086
MYNLD.PS,Maynilad Water Services Inc,4296812190,PH0000061442
PNB.PS,Philippine National Bank,4295886367,PHY7027H1583
PTT.BK,PTT PCL,4295893306,TH0646010Z00
RATCH.BK,Ratch Group PCL,4295893366,TH0637010Y00
RCB.PS,Rizal Commercial Banking Corp,4295886393,PHY7311H1463
SAMA.KL,Samaiden Group Bhd,5076948794,MYQ0223OO006
SIPR.KL,Sime Darby Property Bhd,5000057220,MYL5288OO005
SOLA.KL,Solarvest Holdings Bhd,5068314213,MYQ0215OO002
SPCG.BK,SPCG PCL,4295892717,TH0889010Y07
SSP.BK,Sermsang Power Corporation PCL,5054562486,TH8206010002
TPIPP.BK,TPI Polene Power PCL,5000033059,TH7534010007
UDAHs.KL,Unable to resolve all requested identifiers.,Unable to resolve all requested identifiers.,
UOBH.SI,United Overseas Bank Ltd,5000074278,SG1M31001969
WHAUP.BK,Wha Utilities and Power PCL,5000024158,TH7846010Z09
ZETR.KL,Zetrix AI Bhd,4295883268,MYQ0138OO006
