ticker,country,gic
VIC.HM,Vietnam,1.0
VCB.HM,Vietnam,4.0
VHM.HM,Vietnam,1.0
BID.HM,Vietnam,4.0
CTG.HM,Vietnam,4.0
MBB.HM,Vietnam,4.0
GAS.HM,Vietnam,1.0
VPB.HM,Vietnam,4.0
TCB.HM,Vietnam,4.0
TCX.HM,Vietnam,6.0
BSR.HM,Vietnam,1.0
ACB.HM,Vietnam,4.0
LPB.HM,Vietnam,4.0
FPT.HM,Vietnam,1.0
HDB.HM,Vietnam,4.0
HPG.HM,Vietnam,1.0
MCH.HM,Vietnam,1.0
MWG.HM,Vietnam,1.0
VNM.HM,Vietnam,1.0
GVR.HM,Vietnam,1.0
MSN.HM,Vietnam,1.0
STB.HM,Vietnam,4.0
VJC.HM,Vietnam,3.0
HVN.HM,Vietnam,3.0
SHB.HM,Vietnam,4.0
SSI.HM,Vietnam,6.0
VCK.HM,Vietnam,6.0
CRV.HM,Vietnam,
NAB.HM,Vietnam,4.0
GEE.HM,Vietnam,1.0
BCM.HM,Vietnam,1.0
DGC.HM,Vietnam,1.0
GEX.HM,Vietnam,2.0
GEL.HM,Vietnam,
HAG.HM,Vietnam,1.0
HCM.HM,Vietnam,6.0
KDH.HM,Vietnam,1.0
OCB.HM,Vietnam,4.0
DCM.HM,Vietnam,1.0
POW.HM,Vietnam,1.0
PNJ.HM,Vietnam,1.0
PGV.HM,Vietnam,2.0
REE.HM,Vietnam,1.0
SAB.HM,Vietnam,1.0
SSB.HM,Vietnam,4.0
SBT.HM,Vietnam,1.0
TPB.HM,Vietnam,4.0
PLX.HM,Vietnam,1.0
EIB.HM,Vietnam,4.0
VRE.HM,Vietnam,1.0
VIX.HM,Vietnam,6.0
VND.HM,Vietnam,6.0
VPX.HM,Vietnam,6.0
MSB.HM,Vietnam,4.0
BVH.HM,Vietnam,5.0
FRT.HM,Vietnam,1.0
GMD.HM,Vietnam,3.0
KBC.HM,Vietnam,1.0
NVL.HM,Vietnam,1.0
VCI.HM,Vietnam,6.0
VIB.HM,Vietnam,4.0
VGC.HM,Vietnam,1.0
CCC.HM,Vietnam,1.0
DSC.HM,Vietnam,6.0
HTG.HM,Vietnam,1.0
HNA.HM,Vietnam,2.0
MCM.HM,Vietnam,1.0
PVP.HM,Vietnam,3.0
SIP.HM,Vietnam,1.0
SBG.HM,Vietnam,1.0
TAL.HM,Vietnam,1.0
FUCVREIT.HM,Vietnam,
FUCTVGF4.HM,Vietnam,
VVS.HM,Vietnam,1.0
ADP.HM,Vietnam,1.0
ACG.HM,Vietnam,1.0
AFX.HM,Vietnam,1.0
TCI.HM,Vietnam,6.0
FUCTVGF3.HM,Vietnam,
FUCTVGF5.HM,Vietnam,
VPL.HM,Vietnam,1.0
C32.HM,Vietnam,1.0
NBB.HM,Vietnam,1.0
ACC.HM,Vietnam,1.0
AGR.HM,Vietnam,6.0
HAR.HM,Vietnam,1.0
ANT.HM,Vietnam,
AAA.HM,Vietnam,1.0
HII.HM,Vietnam,1.0
ASG.HM,Vietnam,3.0
BTP.HM,Vietnam,2.0
HDC.HM,Vietnam,1.0
BAF.HM,Vietnam,1.0
BCG.HM,Vietnam,1.0
BMI.HM,Vietnam,5.0
IJC.HM,Vietnam,1.0
BRC.HM,Vietnam,1.0
ABT.HM,Vietnam,1.0
DBT.HM,Vietnam,1.0
BIC.HM,Vietnam,5.0
BSI.HM,Vietnam,6.0
BFC.HM,Vietnam,1.0
BMC.HM,Vietnam,1.0
DBD.HM,Vietnam,1.0
BCE.HM,Vietnam,1.0
KSB.HM,Vietnam,1.0
TDC.HM,Vietnam,1.0
BMP.HM,Vietnam,1.0
ABS.HM,Vietnam,1.0
BKG.HM,Vietnam,1.0
CMV.HM,Vietnam,1.0
CMX.HM,Vietnam,1.0
SJD.HM,Vietnam,2.0
CLL.HM,Vietnam,3.0
CLC.HM,Vietnam,1.0
CHP.HM,Vietnam,2.0
CRE.HM,Vietnam,1.0
STK.HM,Vietnam,1.0
CLW.HM,Vietnam,2.0
CKG.HM,Vietnam,1.0
LGC.HM,Vietnam,1.0
CTF.HM,Vietnam,1.0
CNG.HM,Vietnam,2.0
CMG.HM,Vietnam,1.0
CIG.HM,Vietnam,1.0
C47.HM,Vietnam,1.0
SC5.HM,Vietnam,1.0
CTD.HM,Vietnam,1.0
CRC.HM,Vietnam,1.0
CCI.HM,Vietnam,1.0
CTI.HM,Vietnam,1.0
CCL.HM,Vietnam,1.0
DCL.HM,Vietnam,1.0
DBC.HM,Vietnam,1.0
DTL.HM,Vietnam,1.0
ADS.HM,Vietnam,1.0
DSN.HM,Vietnam,1.0
DRC.HM,Vietnam,1.0
DPG.HM,Vietnam,1.0
DXG.HM,Vietnam,1.0
DXS.HM,Vietnam,1.0
DTA.HM,Vietnam,1.0
HHV.HM,Vietnam,1.0
DIG.HM,Vietnam,1.0
DC4.HM,Vietnam,1.0
DQC.HM,Vietnam,1.0
DVP.HM,Vietnam,3.0
DSE.HM,Vietnam,6.0
DMC.HM,Vietnam,1.0
DAH.HM,Vietnam,1.0
PDN.HM,Vietnam,3.0
DPR.HM,Vietnam,1.0
DHC.HM,Vietnam,1.0
DRH.HM,Vietnam,1.0
PAC.HM,Vietnam,1.0
DLG.HM,Vietnam,1.0
GDT.HM,Vietnam,1.0
DHM.HM,Vietnam,1.0
TCO.HM,Vietnam,3.0
ELC.HM,Vietnam,2.0
EVE.HM,Vietnam,1.0
EVF.HM,Vietnam,4.0
FIR.HM,Vietnam,1.0
FDC.HM,Vietnam,1.0
GHC.HM,Vietnam,
GEG.HM,Vietnam,2.0
HDG.HM,Vietnam,1.0
HPX.HM,Vietnam,1.0
HHP.HM,Vietnam,1.0
HID.HM,Vietnam,1.0
HAX.HM,Vietnam,1.0
NHH.HM,Vietnam,1.0
HAP.HM,Vietnam,1.0
DHG.HM,Vietnam,1.0
HCD.HM,Vietnam,1.0
DHA.HM,Vietnam,1.0
HRC.HM,Vietnam,1.0
HPA.HM,Vietnam,
HSG.HM,Vietnam,1.0
TCH.HM,Vietnam,1.0
HHS.HM,Vietnam,1.0
HQC.HM,Vietnam,1.0
CII.HM,Vietnam,1.0
HSL.HM,Vietnam,1.0
HU1.HM,Vietnam,1.0
HTN.HM,Vietnam,1.0
HVH.HM,Vietnam,1.0
DRL.HM,Vietnam,2.0
IDI.HM,Vietnam,1.0
PTC.HM,Vietnam,1.0
ILB.HM,Vietnam,3.0
HTI.HM,Vietnam,3.0
UIC.HM,Vietnam,2.0
IMP.HM,Vietnam,1.0
D2D.HM,Vietnam,1.0
GSP.HM,Vietnam,1.0
ITC.HM,Vietnam,1.0
ITD.HM,Vietnam,1.0
JVC.HM,Vietnam,1.0
ICT.HM,Vietnam,2.0
KHG.HM,Vietnam,1.0
KHP.HM,Vietnam,2.0
KDC.HM,Vietnam,1.0
KLB.HM,Vietnam,4.0
LBM.HM,Vietnam,1.0
LDG.HM,Vietnam,1.0
L10.HM,Vietnam,1.0
LM8.HM,Vietnam,1.0
LIX.HM,Vietnam,1.0
LCG.HM,Vietnam,1.0
LGL.HM,Vietnam,1.0
HTV.HM,Vietnam,3.0
LAF.HM,Vietnam,1.0
LHG.HM,Vietnam,1.0
COM.HM,Vietnam,1.0
MHC.HM,Vietnam,3.0
MDG.HM,Vietnam,1.0
MIG.HM,Vietnam,5.0
GMH.HM,Vietnam,1.0
KMR.HM,Vietnam,1.0
MCP.HM,Vietnam,1.0
NAF.HM,Vietnam,1.0
NHT.HM,Vietnam,1.0
NKG.HM,Vietnam,1.0
NLG.HM,Vietnam,1.0
NTC.HM,Vietnam,6.0
ANV.HM,Vietnam,1.0
NAV.HM,Vietnam,1.0
NSC.HM,Vietnam,1.0
NVT.HM,Vietnam,1.0
NCT.HM,Vietnam,3.0
OGC.HM,Vietnam,1.0
OPC.HM,Vietnam,1.0
PC1.HM,Vietnam,1.0
PMG.HM,Vietnam,1.0
PGC.HM,Vietnam,1.0
PGI.HM,Vietnam,5.0
PJT.HM,Vietnam,1.0
DPM.HM,Vietnam,1.0
PET.HM,Vietnam,1.0
PGD.HM,Vietnam,2.0
PVT.HM,Vietnam,1.0
PPC.HM,Vietnam,2.0
PLP.HM,Vietnam,1.0
PDR.HM,Vietnam,1.0
PHC.HM,Vietnam,1.0
PHR.HM,Vietnam,1.0
PDV.HM,Vietnam,1.0
PNC.HM,Vietnam,1.0
TV2.HM,Vietnam,1.0
RAL.HM,Vietnam,1.0
TN1.HM,Vietnam,1.0
RYG.HM,Vietnam,1.0
SPM.HM,Vietnam,1.0
SGT.HM,Vietnam,1.0
SCR.HM,Vietnam,1.0
SCS.HM,Vietnam,3.0
SFC.HM,Vietnam,1.0
SVC.HM,Vietnam,1.0
SGN.HM,Vietnam,3.0
SMA.HM,Vietnam,1.0
SVT.HM,Vietnam,1.0
ASM.HM,Vietnam,1.0
FMC.HM,Vietnam,1.0
SRC.HM,Vietnam,1.0
SFI.HM,Vietnam,3.0
S4A.HM,Vietnam,1.0
SBV.HM,Vietnam,1.0
