name,ric,currency,org_permid,isin
DBS GROUP HOLDINGS,DBSM.SI,S$,4295888106.0,SG1L01001701
OVERSEA-CHINESE BKG.,OCBC.SI,S$,4295887834.0,SG1S04926220
SINGAPORE TELECOM,STEL.SI,S$,5000056385.0,SG1T75931496
SEA 'A' SPN.ADR 1:1,SE,U$,5044250385.0,US81141R1005
UNITED OVERSEAS BANK,UOBH.SI,S$,5000074278.0,SG1M31001969
JARDINE MATHESON HDG.,JARD.SI,U$,4295871566.0,BMG507361001
SINGAPORE TECHS.ENGR.,STEG.SI,S$,5000049975.0,SG1F60858221
HONG KONG LAND HDG.,HKLD.SI,U$,4295871555.0,BMG4587L1090
KEPPEL,KPLM.SI,S$,4295887849.0,SG1U68934629
WILMAR INTL.,WLIL.SI,S$,4295887677.0,SG1T56930848
SINGAPORE AIRLINES,SIAL.SI,S$,4295887850.0,SG1V61937297
CAPITALAND INTEG. COML. TST.,CMLT.SI,S$,5000009200.0,SG1M51904654
SINGAPORE EXCHANGE,SGXL.SI,S$,4298007743.0,SG1J26887955
CAPITALAND INVESTMENT,CAPN.SI,S$,5000005870.0,SGXE62145532
SAIZEN REIT.TST. (OTC),SZRRF.PK,U$,4295888071.0,SG2G35998266
YANGZIJIANG SHIPBUILDING (HOLDINGS),YAZG.SI,S$,4295865088.0,SG1U76934819
JARDINE CYC.& CARR.,JCYC.SI,S$,4295887839.0,SG1B51001017
CAPITALAND ASCENDAS REIT,CAPD.SI,S$,4295887444.0,SG1M77906915
SEMBCORP INDUSTRIES,SCIL.SI,S$,4295887411.0,SG1R50925390
THAI BEVERAGE PUBLIC,TBEV.SI,S$,4295893447.0,TH0902010014
CITY DEVELOPMENTS,CTDM.SI,S$,4295887845.0,SG1R89002252
MAPLETREE LOGIST.TRUST,MAPL.SI,S$,4295888118.0,SG1S03926213
UOL GROUP,UTOS.SI,S$,4295887663.0,SG1S83002349
MAPLETREE PAN ASIA COMMERCIAL TRUST,MACT.SI,S$,5039682224.0,SG2D18969584
DFI RETAIL GROUP HOLDINGS,DFIR.SI,U$,4295871525.0,BMG2624N1535
GENTING SINGAPORE,GENS.SI,S$,5064587290.0,SGXE21576413
SEATRIUM,SEAT.SI,S$,4295887379.0,SGXE34184239
GREAT EASTERN HDG.,GELA.SI,S$,4295888101.0,SG1I55882803
FRASERS LOGISTICS & COMMERCIAL TRUST,FRAE.SI,S$,5050926096.0,SG1CI9000006
HAW PAR CORPORATION,HPAR.SI,S$,4295887838.0,SG1D25001158
OLAM GROUP,OLAG.SI,S$,5082465234.0,SGXE65760014
POLIBELI GROUP A,PLBL.O,U$,5087212892.0,KYG716041051
SIA ENGINEERING,SIAE.SI,S$,4295888025.0,SG1I53882771
TECHCREATE GROUP A,TCGL.K,U$,5096108007.0,KYG8726A1067
FIRST RESOURCES,FRLD.SI,S$,4295874786.0,SG1W35938974
NETLINK,NETL.SI,S$,5056435704.0,SG1DH9000006
CAPITALAND ASCOTT STAPLED UNIT,CAPS.SI,S$,5072810312.0,SGXC16332337
FRASERS CENTREPOINT TST.,FCRT.SI,S$,4295887667.0,SG1T60930966
FRASERS PROPERTY,FRPL.SI,S$,5000074538.0,SG2G52000004
GOLDEN AGRI-RESOURCES,GAGR.SI,S$,4295887879.0,MU0117U00026
KEPPEL REIT,KASA.SI,S$,4295888007.0,SG1T22929874
MAPLETREE INDUSTIAL TST.,MAPI.SI,S$,5001427127.0,SG2C32962814
SATS,SATS.SI,S$,4295888033.0,SG1I52882764
SHENG SIONG GROUP,SHEN.SI,S$,5035314032.0,SG2D54973185
VENTURE CORPORATION,VENM.SI,S$,4295887647.0,SG0531000230
KEPPEL DC REIT UNT,KEPE.SI,S$,5044713056.0,SG1AF6000009
SINGAPORE LAND GROUP,SIND.SI,S$,4295887767.0,SG1K37001643
SUNTEC REIT UNITS,SUNT.SI,S$,4295888181.0,SG1Q52922370
SWI CAPITAL HOLDING A,SWICH.AS,E,5097051351.0,SGXPZ11CH7U7
BUKIT SEMBAWANG ESTS.,BSES.SI,S$,4295887516.0,SG1T88932077
COMFORTDELGRO CORPORATION,CMDG.SI,S$,4295888088.0,SG1N31909426
ESR REAL ESTATE INVESTMENT TRUST UNITS,ESRE.SI,S$,4295888026.0,SGXC55341835
FE.HPTST.STAP.UNT.,FAEH.SI,S$,5037653466.0,SG2F08984575
FORTUNE REAL ESTATE INVESTMENT TRUST (SG),0778.HK,K$,4295888111.0,SG1O33912138
FRASER AND NEAVE,FRNM.SI,S$,4295887831.0,SG1T58930911
GUOCOLAND,GUOC.SI,S$,4295887758.0,SG1R95002270
HUTCHISON PORT (SES) HOLDINGS UNITS,HPHT.SI,U$,5028043978.0,SG2D00968206
IFAST,IFAS.SI,S$,4298372754.0,SG1AF5000000
SBS TRANSIT,SBVV.SI,S$,4295887967.0,SG1F58858209
AIMS APAC REIT,AIMA.SI,S$,4295887605.0,SG2D63974620
BOUSTEAD SINGAPORE,BTSS.SI,S$,4295887813.0,SG1X13940751
BRC ASIA,BRCA.SI,S$,4295887659.0,SG1BG3000008
CAPITALAND CHINA TRUST,CAPA.SI,S$,4295888079.0,SG1U25933169
CAPITALAND INDIA UNITS,CAPC.SI,S$,4295888015.0,SG1V35936920
CDL HOSPITALITY TRUSTS,CDLT.SI,S$,4295888102.0,SG1T66931158
CHINA AVIATION OIL,CNAO.SI,S$,4295887732.0,SG1T06929205
FIRST SPONSOR GROUP,FSCA.SI,S$,5042935418.0,KYG3488W1078
FOOD EMPIRE HDG.,FEMP.SI,S$,4295888009.0,SG1I44882534
HO BEE LAND,HBEE.SI,S$,4295887912.0,SG1H41875896
HOUR GLASS,HRGS.SI,S$,4295887546.0,SG1AE9000009
KEPPEL INFRA UNIT,KEPL.SI,S$,4295888172.0,SG1U48933923
PROPNEX,PROP.SI,S$,5064596970.0,SGXE65086469
RIVERSTONE HOLDINGS,RVHL.SI,S$,4295887438.0,SG1U22933048
STARHILL GLOBAL REIT,STHL.SI,S$,4295888123.0,SG1S18926810
STARHUB,STAR.SI,S$,4295888098.0,SG1V12936232
STONEWEG EUROPE (SES) STAPLED TRUST,STON.SI,E,5059090620.0,SGXC11267561
THOMSON MEDICAL GROUP,THOS.SI,S$,4295888092.0,SG1M49904634
ULTRAGREEN AI,ULTR.SI,U$,5093536812.0,SGXE24586385
UOB-KAY HIAN HDG.,UOKH.SI,S$,5000041413.0,SG1J21887414
VALUEMAX GROUP,VAMG.SI,S$,5040251814.0,SG2G29997704
YANGZIJIANG FINANCIAL HOLDING,YANZ.SI,S$,5082503659.0,SGXE77102635
YANGZIJIANG MARITIME DEVELOPMENT,YANI.SI,S$,5095970576.0,SGXE35825913
CSE GLOBAL,CSES.SI,S$,4295887891.0,SG1G47869290
